Symbol,Date,Open,High,Low,Close,Volume
AAAP,02-Jul-2026,25.17,25.195,25.17,25.19,600
AACB,02-Jul-2026,10.5,10.52,10.5,10.52,17400
AACBR,02-Jul-2026,0.21,0.21,0.19,0.19,69500
AACG,02-Jul-2026,1.04,1.073,1.04,1.04,55600
AACI,02-Jul-2026,9.98,10,9.98,10,58000
AACIW,02-Jul-2026,0.39,0.394,0.39,0.394,5800
AACO,02-Jul-2026,9.905,9.95,9.905,9.95,48400
AACOW,02-Jul-2026,0.48,0.48,0.48,0.48,2000
AACP,02-Jul-2026,10,10.01,9.97,9.97,21300
AACPR,02-Jul-2026,0.18,0.19,0.17,0.17,82700
AACPW,02-Jul-2026,0.11,0.12,0.11,0.12,2300
AADR,02-Jul-2026,83.58,83.58,81.98,82.4841,1200
AAEQ,02-Jul-2026,53.0522,53.0522,53.0522,53.0522,100
AAL,02-Jul-2026,18.46,18.79,17.71,17.92,130085000
AALG,02-Jul-2026,21.71,22.07,19.83,20.1061,26100
AAME,02-Jul-2026,1.67,1.73,1.67,1.71,11000
AAOI,02-Jul-2026,135.85,139.2703,113.4109,120.95,16036500
AAON,02-Jul-2026,116.42,117.51,105.22,107.62,1422700
AAPB,02-Jul-2026,37,38.6299,37,38.5334,75300
AAPD,02-Jul-2026,11.93,11.93,11.31,11.36,9770000
AAPG,02-Jul-2026,18.47,18.5,18,18.5,13500
AAPL,02-Jul-2026,294.12,309.42,293.68,308.63,75400600
AAPU,02-Jul-2026,36.1,39.8,35.96,39.48,2527400
AARD,02-Jul-2026,5.58,5.74,5.19,5.7,210900
AAUS,02-Jul-2026,59.42,59.707,59.42,59.707,500
AAVM,02-Jul-2026,33.52,33.6245,33.52,33.6245,800
AAXJ,02-Jul-2026,115.8,116.81,112.43,113.94,567000
ABAT,02-Jul-2026,2.79,2.94,2.755,2.81,4591800
ABCL,02-Jul-2026,7.66,8.32,7.56,8.11,8464200
ABCS,02-Jul-2026,33.99,34.13,33.99,34.1029,2000
ABEO,02-Jul-2026,6.09,6.42,6,6.4,1396300
ABI,02-Jul-2026,24.9,24.9,24.9,24.9,100
ABIG,02-Jul-2026,34.27,34.425,34.27,34.425,600
ABLV,02-Jul-2026,1.18,1.25,1.16,1.19,168100
ABLVW,02-Jul-2026,0.0163,0.0188,0.0163,0.0188,1700
ABNB,02-Jul-2026,146.5,150.07,146.5,148.93,3496600
ABNG,02-Jul-2026,19.41,19.4801,19.24,19.4801,2800
ABOS,02-Jul-2026,2.62,2.76,2.62,2.74,351200
ABSI,02-Jul-2026,11.4,11.78,11.142,11.62,5278700
ABTC,02-Jul-2026,0.65,0.67,0.556,0.5617,82537200
ABTS,02-Jul-2026,1.16,1.195,1.1501,1.17,19200
ABUS,02-Jul-2026,4.77,4.955,4.745,4.87,2607700
ABVC,02-Jul-2026,1.78,1.8361,1.69,1.8,118800
ABVX,02-Jul-2026,138.87,146.68,137.632,144.65,4015700
ACAA,02-Jul-2026,10.03,10.235,10.03,10.2,128000
ACAAU,02-Jul-2026,10.1,10.12,10.065,10.12,2200
ACAAW,02-Jul-2026,0.75,0.81,0.75,0.81,4900
ACAD,02-Jul-2026,25.41,26.2268,25.13,25.97,1586300
ACB,02-Jul-2026,2.85,2.975,2.8313,2.84,1379100
ACCL,02-Jul-2026,1.74,1.74,1.6612,1.72,124300
ACDC,02-Jul-2026,5.5,5.545,5.105,5.15,1070300
ACEP,02-Jul-2026,19.6469,19.6469,19.6469,19.6469,100
ACET,02-Jul-2026,8.73,9.3899,8.7,9,101100
ACFN,02-Jul-2026,16.55,17.0471,16.41,16.89,10400
ACGC,02-Jul-2026,9.96,9.96,9.96,9.96,200
ACGCW,02-Jul-2026,0.34,0.34,0.34,0.34,1800
ACGL,02-Jul-2026,98.89,102.245,97.955,102.2,2236700
ACGLN,02-Jul-2026,16.17,16.24,16.12,16.19,20300
ACGLO,02-Jul-2026,19.15,19.15,18.95,19.005,24700
ACHC,02-Jul-2026,31.5,32.82,31.35,31.91,4463400
ACHV,02-Jul-2026,6.42,6.5975,6.16,6.4,1712900
ACIC,02-Jul-2026,11.4,11.73,11.3305,11.54,283500
ACIU,02-Jul-2026,2.37,2.52,2.35,2.51,364800
ACIW,02-Jul-2026,52.91,54.95,52.81,54.88,1231000
ACLS,02-Jul-2026,176.62,176.62,141.67,144.5,1037500
ACMR,02-Jul-2026,116.65,116.65,94.72,97.77,2944300
ACNB,02-Jul-2026,61.25,61.725,59.985,60.25,70900
ACNT,02-Jul-2026,15.16,15.28,14.81,15.26,50200
ACOG,02-Jul-2026,7.84,8.1,7.35,7.89,51900
ACON,02-Jul-2026,3.045,3.11,3.0201,3.09,21200
ACONW,02-Jul-2026,0.021,0.0246,0.021,0.0231,12100
ACRS,02-Jul-2026,5.36,5.58,5.325,5.56,1943000
ACRV,02-Jul-2026,1.73,1.795,1.705,1.72,264100
ACT,02-Jul-2026,45.56,45.785,44.73,45.34,241500
ACTG,02-Jul-2026,4.7,4.76,4.54,4.54,183200
ACTU,02-Jul-2026,1.44,1.58,1.405,1.52,179800
ACWI,02-Jul-2026,156.89,157.77,155.03,156.15,3202300
ACWX,02-Jul-2026,75.74,76.2,74.61,75.23,2674900
ACXP,02-Jul-2026,1.59,1.6699,1.56,1.6,59200
ADAC,02-Jul-2026,10.04,10.07,10.04,10.07,12200
ADACW,02-Jul-2026,0.6706,0.6706,0.6706,0.6706,9800
ADAG,02-Jul-2026,4.65,4.78,4.408,4.47,81600
ADAM,02-Jul-2026,9.41,9.41,9.09,9.14,598100
ADAMG,02-Jul-2026,25.09,25.21,25.09,25.15,1600
ADAMH,02-Jul-2026,25.28,25.34,25.21,25.2405,40700
ADAMI,02-Jul-2026,25.13,25.15,25.03,25.0401,5000
ADAML,02-Jul-2026,24.33,24.36,24.3,24.3,7000
ADAMM,02-Jul-2026,24.95,25,24.8082,24.8082,20300
ADAMN,02-Jul-2026,23.41,23.86,23.41,23.86,5100
ADAMO,02-Jul-2026,25.09,25.15,25.05,25.1298,9500
ADAMZ,02-Jul-2026,18.9,18.9599,18.73,18.73,18100
ADBE,02-Jul-2026,215.55,222.15,213.735,219.72,7907500
ADBG,02-Jul-2026,3.3,3.495,3.245,3.43,8275600
ADEA,02-Jul-2026,31.79,32.43,28.09,29.19,2334100
ADGM,02-Jul-2026,0.688,0.6954,0.6303,0.6369,148800
ADI,02-Jul-2026,390.81,396,372.64,377.16,6144800
ADIL,02-Jul-2026,2.84,2.94,2.71,2.9,73700
ADMA,02-Jul-2026,8.7,9.01,8.66,8.95,4366900
ADP,02-Jul-2026,236.34,243.03,236,242.27,2492700
ADPT,02-Jul-2026,22.5,22.8,21.09,21.19,3393900
ADSE,02-Jul-2026,12.2,12.49,12.0144,12.45,10500
ADSEW,02-Jul-2026,0.5001,0.7129,0.5,0.6528,13400
ADSK,02-Jul-2026,200.97,209.92,200.71,207.48,2931000
ADTN,02-Jul-2026,13.72,13.72,12.42,12.71,1770900
ADUR,02-Jul-2026,15.67,16,14.86,15.68,978900
ADUS,02-Jul-2026,102.48,105.72,102.48,105.17,296500
ADV,02-Jul-2026,44.3,45.23,38.37,38.86,103800
ADVB,02-Jul-2026,4.6,5.07,4.6,4.99,12900
ADXN,02-Jul-2026,5.95,5.95,5.79,5.79,1100
AEAQ,02-Jul-2026,10,10,10,10,400
AEAQU,02-Jul-2026,10.41,10.66,10.16,10.16,1100
AEAQW,02-Jul-2026,0.3525,0.36,0.345,0.35,35400
AEBI,02-Jul-2026,12.49,13,11.8801,12.09,279700
AEC,02-Jul-2026,4.17,4.55,4.17,4.22,25900
AEHL,02-Jul-2026,1.05,1.05,0.9633,1,62900
AEHR,02-Jul-2026,84.32,85,66.26,69.96,3480300
AEI,02-Jul-2026,1.42,1.5,1.34,1.34,16600
AEIS,02-Jul-2026,356.35,356.35,304.56,311.27,1046000
AEMD,02-Jul-2026,0.7519,0.8399,0.7101,0.7101,112600
AENT,02-Jul-2026,5.78,6.15,5.71,5.95,14700
AEP,02-Jul-2026,135.88,138.6,135.66,138.51,8803200
AERT,02-Jul-2026,7.22,7.34,7.1,7.34,18900
AERTW,02-Jul-2026,0.02,0.0214,0.02,0.0214,10000
AESP,02-Jul-2026,9.86,9.87,9.86,9.87,122800
AESP,02-Jul-2026,9.86,9.87,9.86,9.87,122801
AESPR,02-Jul-2026,0.21,0.21,0.1999,0.2,4400
AESPU,02-Jul-2026,10.11,10.1101,10.11,10.11,10100
AESPW,02-Jul-2026,0.0651,0.07,0.0651,0.0651,4500
AEVA,02-Jul-2026,27.7,28.56,23.75,23.98,2667100
AEYE,02-Jul-2026,6.4,6.7,6.24,6.51,158800
AFBI,02-Jul-2026,22.6,22.6,22.55,22.58,27600
AFCG,02-Jul-2026,3.16,3.245,3.13,3.13,58100
AFJK,02-Jul-2026,27.19,27.81,27,27,16300
AFOS,02-Jul-2026,45.87,46.25,44.56,45.1054,21600
AFRI,02-Jul-2026,10.365,10.365,10.08,10.22,21200
AFRIW,02-Jul-2026,0.7876,0.7876,0.63,0.7005,17200
AFRM,02-Jul-2026,84.56,86.55,82.55,84.58,3769700
AFSC,02-Jul-2026,38.97,38.97,38.37,38.4005,400
AFYA,02-Jul-2026,15.06,15.37,14.965,15.27,137700
AGCC,02-Jul-2026,14.82,15.4044,14.8,14.8,35600
AGEM,02-Jul-2026,47.99,48.27,46.97,47.6027,2200
AGEN,02-Jul-2026,3.4,3.515,3.37,3.49,680500
AGGA,02-Jul-2026,25.12,25.1423,25.12,25.1423,24900
AGIO,02-Jul-2026,37.42,37.7,36.52,37.58,791100
AGIX,02-Jul-2026,45.71,46.1686,44.01,44.415,253300
AGMB,02-Jul-2026,11.88,13.13,11.88,12.65,38800
AGMH,02-Jul-2026,1.19,1.29,1.19,1.24,31800
AGMI,02-Jul-2026,64.15,64.15,62.69,63.4784,700
AGNC,02-Jul-2026,10.89,11,10.81,11,16187500
AGNCL,02-Jul-2026,24.82,24.94,24.7835,24.8499,9300
AGNCM,02-Jul-2026,24.85,24.85,24.675,24.75,25500
AGNCN,02-Jul-2026,25.28,25.38,25.2507,25.375,27700
AGNCO,02-Jul-2026,25.11,25.175,25.11,25.168,27900
AGNCP,02-Jul-2026,24.72,24.79,24.72,24.76,36500
AGNCZ,02-Jul-2026,25.11,25.2,25.0801,25.16,31700
AGNG,02-Jul-2026,36.33,37.18,36.33,37.0629,20000
AGNT,02-Jul-2026,5.45,5.45,5.01,5.32,1509400
AGPU,02-Jul-2026,7.29,7.7,7.012,7.08,76000
AGRZ,02-Jul-2026,0.38,0.4121,0.38,0.3986,55500
AGYS,02-Jul-2026,108.99,112.12,108.99,110.81,317000
AGZD,02-Jul-2026,22.5665,22.61,22.5634,22.5669,99100
AHCO,02-Jul-2026,10.6,10.83,10.6,10.76,729600
AHD,02-Jul-2026,25.52,25.52,25.52,25.52,200
AHG,02-Jul-2026,1.5,1.52,1.4499,1.52,2200
AHMA,02-Jul-2026,2.18,2.51,2.1,2.47,12367700
