Symbol,Date,Open,High,Low,Close,Volume
A,01-Sep-2026,153.55,154.59,149.18,149.93,2715500
AA,01-Sep-2026,49.08,52.03,49.0702,50.9,4679400
AAC,01-Sep-2026,10.06,10.06,10.06,10.06,2200
AAC.U,01-Sep-2026,10.21,10.21,10.21,10.21,100
AADX,01-Sep-2026,13.02,13.21,12.535,12.55,1462800
AAMI,01-Sep-2026,93.5,94.47,89.9,90.08,476300
AAP,01-Sep-2026,42.45,43.41,42.16,42.76,2070900
AAT,01-Sep-2026,22.29,22.48,22.18,22.41,398900
AAUC,01-Sep-2026,22.85,23.41,22.59,22.81,341800
AB,01-Sep-2026,36.61,36.79,36.39,36.67,328700
ABBV,01-Sep-2026,260.99,262.265,257.79,259.99,3866700
ABCB,01-Sep-2026,83.81,84.6,83.2,83.55,389500
ABEV,01-Sep-2026,2.87,2.95,2.86,2.89,27955600
ABG,01-Sep-2026,210.33,211.9203,207.07,209.36,157400
ABM,01-Sep-2026,46.63,46.875,46.22,46.41,357000
ABR,01-Sep-2026,5,5,4.905,4.95,3452000
ABR-D,01-Sep-2026,15.55,15.64,15.53,15.59,23800
ABR-E,01-Sep-2026,15.33,15.36,15.32,15.36,24000
ABR-F,01-Sep-2026,22.68,22.72,22.37,22.61,5100
ABRpD,01-Sep-2026,15.55,15.64,15.53,15.58,21856
ABRpE,01-Sep-2026,15.33,15.36,15.32,15.3442,22561
ABRpF,01-Sep-2026,22.68,22.72,22.37,22.38,3655
ABT,01-Sep-2026,112.25,113.91,108.68,108.93,7229400
ABX,01-Sep-2026,9.43,9.48,9.16,9.21,368900
ABXL,01-Sep-2026,25.54,25.5451,25.35,25.49,10900
ACA,01-Sep-2026,145.26,145.5,145.26,145.48,523100
ACCO,01-Sep-2026,4.28,4.325,4.225,4.25,746200
ACEL,01-Sep-2026,11.62,11.65,11.47,11.58,259300
ACH,01-Sep-2026,1.18,1.2,1.12,1.15,1069900
ACH.W,01-Sep-2026,0.007,0.0072,0.007,0.0072,9400
ACHR,01-Sep-2026,5.63,5.655,5.48,5.56,20222800
ACHR.WS,01-Sep-2026,0.007,0.0072,0.007,0.0072,9446
ACI,01-Sep-2026,12.4,12.67,12.37,12.46,6228800
ACLO,01-Sep-2026,50.354,50.36,50.354,50.36,600
ACM,01-Sep-2026,66.95,68.35,65.46,66.23,2415400
ACN,01-Sep-2026,187.32,190.5,186.99,188.09,3409700
ACP,01-Sep-2026,5.07,5.07,5.02,5.04,397800
ACP-A,01-Sep-2026,18.9,18.93,18.9,18.93,2700
ACPpA,01-Sep-2026,18.9,18.93,18.9,18.93,2400
ACR,01-Sep-2026,13.88,14.11,13.68,13.93,30600
ACR-C,01-Sep-2026,24.1,24.1,23.91,23.928,13300
ACR-D,01-Sep-2026,20.4,20.4499,20.144,20.144,4500
ACRE,01-Sep-2026,4.56,4.57,4.425,4.47,280200
ACRpC,01-Sep-2026,24.1,24.1,23.91,23.928,10758
ACRpD,01-Sep-2026,20.4,20.4499,20.144,20.144,3758
ACV,01-Sep-2026,25.83,26.2701,25.7054,25.94,34900
ACVA,01-Sep-2026,6.9,7.065,6.685,6.76,4063700
AD,01-Sep-2026,36.65,37.4199,36.23,36.92,248200
ADC,01-Sep-2026,72.42,72.95,72.205,72.5,1436700
ADC-A,01-Sep-2026,16.8,17.1,16.78,16.78,16000
ADCpA,01-Sep-2026,16.8,17.1,16.78,16.78,14260
ADCT,01-Sep-2026,1.15,1.24,1.14,1.24,1149600
ADIG,01-Sep-2026,21.86,22.42,20.09,20.34,1144700
ADM,01-Sep-2026,82.9,84.62,81.66,84.55,4010600
ADNT,01-Sep-2026,18.81,18.86,18.17,18.25,847600
ADT,01-Sep-2026,7.35,7.45,7.25,7.37,5825400
ADX,01-Sep-2026,25.84,25.96,25.7501,25.86,272000
AEE,01-Sep-2026,106.39,106.76,105.23,106.09,1237400
AEFC,01-Sep-2026,17.7,17.8,17.601,17.7,145800
AEG,01-Sep-2026,9.21,9.25,9.1597,9.18,4871500
AEM,01-Sep-2026,196.55,200.61,193.3,193.46,4667300
AEO,01-Sep-2026,16.4,16.935,16.17,16.58,4929400
AER,01-Sep-2026,146.14,146.5226,142.9301,144.16,1349600
AERO,01-Sep-2026,14.28,14.64,14.28,14.56,490100
AES,01-Sep-2026,14.75,14.8,14.74,14.77,5605300
AESI,01-Sep-2026,13.06,13.43,12.62,12.68,2626000
AEXA,01-Sep-2026,11.63,11.69,11.45,11.55,31800
AFB,01-Sep-2026,10.88,10.88,10.77,10.81,40100
AFG,01-Sep-2026,143.62,143.62,141.465,142.42,267800
AFGB,01-Sep-2026,20.35,20.54,20.2471,20.27,11200
AFGC,01-Sep-2026,17.88,17.88,17.55,17.57,34700
AFGD,01-Sep-2026,20.65,20.69,20.3,20.42,16100
AFGE,01-Sep-2026,15.8,15.91,15.6501,15.67,12400
AFL,01-Sep-2026,116.76,117.35,114.86,116.02,3159000
AG,01-Sep-2026,19.73,20.765,19.55,19.86,12433700
AGBK,01-Sep-2026,6.27,6.67,6.27,6.63,302400
AGCO,01-Sep-2026,117.86,122.52,117.119,122.32,1316400
AGD,01-Sep-2026,12.44,12.4499,12.2701,12.28,83100
AGI,01-Sep-2026,35.2,36.21,34.84,34.92,3459400
AGL,01-Sep-2026,86.85,90.3,86.5501,87.47,99300
AGM,01-Sep-2026,218.97,222.6775,217.0001,219.85,86100
AGM-D,01-Sep-2026,20.9,21.03,20.9,21.02,2200
AGM-E,01-Sep-2026,20.76,20.9399,20.5648,20.63,6300
AGM-F,01-Sep-2026,18.58,18.74,18.58,18.63,9300
AGM-G,01-Sep-2026,17.31,17.36,17.3,17.3,4000
AGM-H,01-Sep-2026,23.43,23.43,23.02,23.2001,2600
AGM-I,01-Sep-2026,24.32,24.6,24.224,24.38,2300
AGMpD,01-Sep-2026,20.9,21.03,20.9,21.02,1400
AGMpE,01-Sep-2026,20.76,20.9399,20.5648,20.63,5869
AGMpF,01-Sep-2026,18.58,18.74,18.58,18.63,8301
AGMpG,01-Sep-2026,17.31,17.36,17.3,17.36,3262
AGMpH,01-Sep-2026,23.43,23.43,23.02,23.2001,2600
AGO,01-Sep-2026,74.96,75.51,74.12,74.46,279800
AGRO,01-Sep-2026,11.47,12.08,11.31,12.02,1387300
AGX,01-Sep-2026,422.36,426.24,401.51,404.75,503400
AHL-D,01-Sep-2026,18.61,18.85,18.53,18.56,9900
AHL-E,01-Sep-2026,18.6,18.8312,18.49,18.5,26500
AHL-F,01-Sep-2026,23.44,23.5332,23.36,23.43,10700
AHLpD,01-Sep-2026,18.61,18.85,18.53,18.56,8049
AHLpE,01-Sep-2026,18.6,18.8312,18.49,18.5,23200
AHLpF,01-Sep-2026,23.44,23.5332,23.36,23.43,9231
AHR,01-Sep-2026,55.39,56.71,55.28,56.54,3166400
AHRT,01-Sep-2026,6.47,6.49,6.395,6.41,718900
AHT,01-Sep-2026,3.1,3.2999,3.1,3.13,23100
AHT-D,01-Sep-2026,6.73,6.7799,6.04,6.1301,11000
AHT-F,01-Sep-2026,6.81,6.81,6.8,6.8,400
AHT-G,01-Sep-2026,6.2148,6.2148,6.2148,6.2148,700
AHT-H,01-Sep-2026,6.15,6.325,6.15,6.325,1900
AHT-I,01-Sep-2026,6.26,6.3,6.2551,6.3,2400
AHTpD,01-Sep-2026,6.73,6.7799,6.04,6.1301,10697
AHTpF,01-Sep-2026,6.81,6.81,6.8,6.8,200
AHTpG,01-Sep-2026,6.2148,6.2148,6.2148,6.2148,400
AHTpH,01-Sep-2026,6.15,6.325,6.15,6.325,501
AHTpI,01-Sep-2026,6.2551,6.3,6.2551,6.3,900
AI,01-Sep-2026,10.47,10.56,10.17,10.34,4783800
AIG,01-Sep-2026,76.42,77.315,75.66,75.88,3335500
AII,01-Sep-2026,26.13,26.29,25.18,25.65,202400
AII-,01-Sep-2026,0.1702,0.1702,0.1702,0.1702,200
AII.U,01-Sep-2026,10.36,10.36,10.36,10.36,100
AIIA,01-Sep-2026,10.22,10.22,10.22,10.22,400
AIIA.U,01-Sep-2026,10.36,10.36,10.36,10.36,100
AIN,01-Sep-2026,54.6,56.08,54.15,54.33,276000
AIO,01-Sep-2026,26.04,26.04,25.755,25.8,42600
AIR,01-Sep-2026,127.35,128.98,123.76,124.48,332400
AIT,01-Sep-2026,322.37,324,317.88,319.11,341500
AIV,01-Sep-2026,2.52,2.565,2.51,2.55,1299700
AIZ,01-Sep-2026,282.46,284.435,279.9725,280.78,245900
AIZN,01-Sep-2026,18.3,18.415,18.1601,18.26,10000
AJG,01-Sep-2026,264.43,267.23,260.04,262,2024500
AKA,01-Sep-2026,10.65,10.65,10.46,10.5,2600
AKAF,01-Sep-2026,32.7845,32.7845,32.7845,32.7845,100
AKO.A,01-Sep-2026,23.4,23.4,23.4,23.4,300
AKO.B,01-Sep-2026,29.15,29.42,28.33,29.3,29300
AKR,01-Sep-2026,20.53,20.58,20.255,20.45,2470200
ALB,01-Sep-2026,132,138.08,131.41,135.54,1553500
ALB-A,01-Sep-2026,54.34,55.74,53.74,55.05,27700
ALBpA,01-Sep-2026,54.34,55.74,53.74,55.05,12441
ALC,01-Sep-2026,72.56,72.59,71.38,71.75,1404900
ALG,01-Sep-2026,163.55,165.26,162.99,164.1,156200
ALH,01-Sep-2026,22.74,23.3699,22.11,22.26,1223200
ALIT,01-Sep-2026,14.16,14.33,13.82,13.82,379500
ALK,01-Sep-2026,40.61,41.285,40.42,40.69,2358100
ALL,01-Sep-2026,260.33,261.79,257.37,257.87,1067400
ALL-B,01-Sep-2026,25.55,25.61,25.55,25.61,18500
ALL-H,01-Sep-2026,18.61,18.7316,18.52,18.6,88700
ALL-I,01-Sep-2026,17.34,17.54,17.3113,17.45,42700
ALL-J,01-Sep-2026,25.85,25.9705,25.79,25.83,52700
ALLE,01-Sep-2026,155.84,156.65,151.74,151.82,1146000
ALLpB,01-Sep-2026,25.55,25.61,25.55,25.5551,12441
ALLpH,01-Sep-2026,18.61,18.7316,18.52,18.58,72329
ALLpI,01-Sep-2026,17.34,17.54,17.3113,17.47,37527
ALLpJ,01-Sep-2026,25.85,25.9705,25.79,25.815,44864
ALLY,01-Sep-2026,41.83,42.42,41.73,41.85,3182800
ALSN,01-Sep-2026,124.6,125.67,121.98,122.71,617600
ALT-A,01-Sep-2026,25.82,26,25.82,26,1300
ALTG,01-Sep-2026,5.82,6.25,5.665,5.72,415500
ALTGpA,01-Sep-2026,25.82,26,25.82,26,1100
ALUB,01-Sep-2026,10.12,10.12,10.11,10.12,97900
ALV,01-Sep-2026,120.05,121.06,118.9,119.21,492500
ALX,01-Sep-2026,271.52,272.98,264.105,267.25,34300
AM,01-Sep-2026,22.65,22.7,22.2723,22.48,1977900
AMBP,01-Sep-2026,5.08,5.14,5.06,5.06,1067100
AMBQ,01-Sep-2026,57.2,57.695,55.02,55.94,614700
AMC,01-Sep-2026,2.61,2.64,2.55,2.58,16076800
AMCR,01-Sep-2026,45.99,46.15,45.48,45.82,2606400
AME,01-Sep-2026,234.11,235.78,229.595,231.32,1542600
AMG,01-Sep-2026,363.73,372.8,360.26,360.75,216400
AMH,01-Sep-2026,33.37,33.55,33.18,33.42,1977900
AMH-G,01-Sep-2026,22.32,22.325,21.85,21.987,11200
AMH-H,01-Sep-2026,23.35,23.3599,23.07,23.07,19500
AMHpG,01-Sep-2026,22.2816,22.325,21.85,21.987,9873
AMHpH,01-Sep-2026,23.35,23.3599,23.07,23.07,14232
AMN,01-Sep-2026,34.01,34.77,33.35,33.54,574300
AMP,01-Sep-2026,549.85,558.56,541.275,542.64,467900
AMP.V,01-Sep-2026,3.02,3.06,2.8,3.03,22700
AMPX,01-Sep-2026,9.64,9.69,9.395,9.48,4029500
AMPX.WS,01-Sep-2026,3.02,3.06,2.8,3.03,21378
AMPY,01-Sep-2026,4.96,5.005,4.875,4.99,654100
AMR,01-Sep-2026,235.72,236.7,230,233.41,346000
AMRC,01-Sep-2026,22,22.645,21.91,22.6,802500
AMRZ,01-Sep-2026,43.27,43.64,42.72,42.81,3825900
AMT,01-Sep-2026,175.9,178.235,174.62,176.02,2389100
AMTB,01-Sep-2026,28.57,29.06,28.2996,28.43,392600
AMTD,01-Sep-2026,0.7705,0.7705,0.741,0.7506,8000
AMTM,01-Sep-2026,20.13,20.25,19.8,19.99,1837400
AMWL,01-Sep-2026,11.83,12.22,11.5,12.07,155800
AMX,01-Sep-2026,23.04,23.36,22.925,22.98,1526900
AN,01-Sep-2026,200.39,204.59,199.9901,204.08,422100
ANDG,01-Sep-2026,55.75,57.17,55.53,55.72,397000
ANET,01-Sep-2026,195.77,196.5,188.56,189.26,4375800
ANF,01-Sep-2026,142,143.37,138.72,140.68,1732200
ANG-D,01-Sep-2026,23.18,23.215,22.98,23.15,14500
ANGpD,01-Sep-2026,23.18,23.215,22.98,23.15,10595
ANGX,01-Sep-2026,4.14,4.395,4.1,4.34,934000
ANRO,01-Sep-2026,35.2,36.04,34.62,35.2,350200
ANVS,01-Sep-2026,1.73,1.73,1.67,1.69,457600
AOD,01-Sep-2026,10.78,10.78,10.59,10.65,674900
AOMD,01-Sep-2026,25.21,25.225,25.1,25.16,11900
AOMN,01-Sep-2026,25.39,25.39,25.18,25.18,1400
AOMR,01-Sep-2026,8.29,8.37,8.2,8.2,94200
AON,01-Sep-2026,321.415,328.52,312.92,326.3,2423200
AORT,01-Sep-2026,27.05,27.95,26.915,27.09,675100
AOS,01-Sep-2026,58.74,59.585,58.41,58.49,1019900
AP,01-Sep-2026,8.43,8.64,8.12,8.38,85500
APAM,01-Sep-2026,42.31,43.12,41.68,41.7,874600
APD,01-Sep-2026,308,308.9,303.935,305.32,965900
APG,01-Sep-2026,39.02,39.39,38.53,39.12,2546100
APH,01-Sep-2026,159.11,163.29,156.641,163.18,7718800
APLE,01-Sep-2026,15.66,15.895,15.5,15.57,2907800
APO,01-Sep-2026,133.93,135.36,129.89,131.69,2576500
APOS,01-Sep-2026,25.2,25.2601,25.02,25.17,49200
APTV,01-Sep-2026,44.68,45.695,44.54,44.85,4036900
AQN,01-Sep-2026,5.65,5.695,5.6,5.66,4145600
AQNB,01-Sep-2026,26.33,26.3697,26.1401,26.21,13300
AR,01-Sep-2026,39.2,40.01,38.94,39.81,5020900
ARCO,01-Sep-2026,7.86,8.11,7.84,8.06,992300
ARDC,01-Sep-2026,12.39,12.42,12.35,12.4,124400
ARDT,01-Sep-2026,10.83,11.27,10.83,10.94,289100
ARE,01-Sep-2026,51.27,52.94,50.58,51.63,1671500
ARE-B,01-Sep-2026,45.65,45.65,43.81,43.81,75100
ARES,01-Sep-2026,140,142.75,137.19,139.09,1529400
ARESpB,01-Sep-2026,45.65,45.65,43.81,44.15,55135
ARI,01-Sep-2026,6.85,6.875,6.78,6.81,2042900
ARIS,01-Sep-2026,19.34,19.76,18.8,18.87,1338500
ARL,01-Sep-2026,15.05,15.05,15.05,15.05,700
ARLO,01-Sep-2026,12.84,12.985,12.38,12.57,1558100
ARMK,01-Sep-2026,56.32,56.9,56.02,56.62,2781200
