Ticker,Reason,Security_Name
AAA,etf_flag,Alternative Access First Priority CLO Bond ETF
AAAA,etf_flag,Amplius Aggressive Asset Allocation ETF
AAAC,etf_flag,Columbia AAA CLO ETF
AAAD,etf_flag,PGIM AAA CLO Aggregate Duration ETF
AAAP,etf_flag,Pacer Barings CLO Market Flex ETF
AAAU,etf_flag,Goldman Sachs Physical Gold ETF Shares
AADR,etf_flag,AdvisorShares Dorsey Wright ADR ETF
AAEQ,etf_flag,Alpha Architect US Equity 2 ETF
AALG,etf_flag,Leverage Shares 2X Long AAL Daily ETF
AAOG,etf_flag,Leverage Shares 2X Long AAOI Daily ETF
AAOX,etf_flag,Tradr 2X Long AAOI Daily ETF
AAOZ,etf_flag,Tradr 2X Short AAOI Daily ETF
AAPB,etf_flag,GraniteShares 2x Long AAPL Daily ETF
AAPD,etf_flag,Direxion Daily AAPL Bear 1X ETF
AAPE,etf_flag,Leverage Shares 2X Long AAPL Daily ETF
AAPR,etf_flag,Innovator Equity Defined Protection ETF - 2 Yr to April 2028
AAPU,etf_flag,Direxion Daily AAPL Bull 2X ETF
AAPW,etf_flag,Roundhill AAPL WeeklyPay ETF
AAPX,etf_flag,T-Rex 2X Long Apple Daily Target ETF
AAPY,etf_flag,Kurv Yield Premium Strategy Apple (AAPL) ETF
AAUA,etf_flag,Alpha Architect US Equity 3 ETF
AAUB,etf_flag,Alpha Architect US Equity 4 ETF
AAUS,etf_flag,Alpha Architect US Equity ETF
AAVM,etf_flag,Alpha Architect Global Factor Equity ETF
AAXJ,etf_flag,iShares MSCI All Country Asia ex Japan ETF
ABCS,etf_flag,Alpha Blue Capital US Small-Mid Cap Dynamic ETF
ABEQ,etf_flag,Absolute Select Value ETF
ABFL,etf_flag,Abacus FCF Leaders ETF
ABI,etf_flag,VictoryShares Pioneer Asset-Based Income ETF
ABIG,etf_flag,Argent Large Cap ETF
ABLD,etf_flag,Abacus FCF Real Assets Leaders ETF
ABLG,etf_flag,Abacus FCF International Leaders ETF
ABLS,etf_flag,Abacus FCF Small Cap Leaders ETF
ABOT,etf_flag,Abacus FCF Innovation Leaders ETF
ABUF,etf_flag,Aptus Laddered Buffer ETF
ABXB,etf_flag,Abacus Flexible Bond Leaders ETF
ACBE,etf_flag,Pacer Metaurus Enhanced Core Income Autocallable ETF
ACBH,etf_flag,Pacer Metaurus High Income Autocallable ETF
ACEI,etf_flag,Innovator Equity Autocallable Income Strategy ETF
ACEP,etf_flag,ARS Core Equity Portfolio ETF
ACES,etf_flag,ALPS Clean Energy ETF
ACGO,etf_flag,Hartford Alpha Capture Growth ETF
ACGR,etf_flag,American Century Large Cap Growth ETF
ACHX,etf_flag,Corgi ACHR 2x Daily ETF
ACII,etf_flag,Innovator Index Autocallable Income Strategy ETF
ACIO,etf_flag,Aptus Collared Investment Opportunity ETF
ACKY,etf_flag,VistaShares Target 15 ACKtivist Distribution ETF
ACLC,etf_flag,American Century Large Cap Equity ETF
ACLO,etf_flag,TCW AAA CLO ETF
ACLZ,etf_flag,Corgi ACLS 2x Daily ETF
ACMM,etf_flag,Corgi ACMR 2x Daily ETF
ACOM,etf_flag,Harbor Active Commodity ETF
ACQQ,etf_flag,ProShares Nasdaq-100 Autocallable Income ETF
ACRT,etf_flag,ProShares Russell 2000 Autocallable Income ETF
ACSG,etf_flag,American Century Small Cap Growth Insights ETF
ACSI,etf_flag,American Customer Satisfaction ETF
ACSP,etf_flag,ProShares S&P 500 Autocallable Income ETF
ACSV,etf_flag,American Century Small Cap Value Insights ETF
ACTS,etf_flag,FIS Tactical Equity ETF
ACVF,etf_flag,American Conservative Values ETF
ACVT,etf_flag,Advent Convertible Bond ETF
ACVU,etf_flag,Hartford Alpha Capture Value ETF
ACWI,etf_flag,iShares MSCI ACWI ETF
ACWV,etf_flag,iShares MSCI Global Min Vol Factor ETF
ACWX,etf_flag,iShares MSCI ACWI ex U.S. ETF
ACYN,etf_flag,FT Vest Laddered Autocallable Barrier & Income ETF
ACYQ,etf_flag,FT Vest Autocallable Barrier & High Income ETF
ACYS,etf_flag,FT Vest Laddered Autocallable Barrier & Resilient Income ETF
ADBG,etf_flag,Leverage Shares 2X Long ADBE Daily ETF
ADBU,etf_flag,Direxion Daily ADBE Bull 2X ETF
ADDS,etf_flag,Hedgeye Index Adds ETF
ADIU,etf_flag,Leverage Shares 2X Long ADI Daily ETF
ADIV,etf_flag,Guinness Atkinson Asia Pacific Dividend Builder ETF
ADME,etf_flag,Aptus Drawdown Managed Equity ETF
ADPV,etf_flag,Adaptiv Select ETF
ADVE,etf_flag,Matthews Asia Dividend Active ETF
AEHG,etf_flag,Leverage Shares 2X Long AEHR Daily ETF
AELV,etf_flag,Harbor AlphaEdge Large Cap Value ETF
AEMC,etf_flag,Harbor AlphaEdge Mid Cap Core ETF
AEMG,etf_flag,Harbor AlphaEdge Mid Cap Growth ETF
AEMV,etf_flag,Harbor AlphaEdge Mid Cap Value ETF
AESB,etf_flag,Harbor AlphaEdge Small Cap Core ETF
AESG,etf_flag,Harbor AlphaEdge Small Cap Growth ETF
AESL,etf_flag,Harbor AlphaEdge Small Cap Value ETF
AESR,etf_flag,Anfield U.S. Equity Sector Rotation ETF
AETH,etf_flag,Bitwise Trendwise Ether and Treasuries Rotation Strategy ETF
AFGR,etf_flag,First Trust Multi-Manager Large Growth ETF
AFIF,etf_flag,Anfield Universal Fixed Income ETF
AFIX,etf_flag,Allspring Broad Market Core Bond ETF
AFK,etf_flag,VanEck Africa Index ETF
AFLG,etf_flag,First Trust Active Factor Large Cap ETF
AFMC,etf_flag,First Trust Active Factor Mid Cap ETF
AFOS,etf_flag,ARS Focused Opportunity Strategy ETF
AFRU,etf_flag,T-REX 2X Long AFRM Daily Target ETF
AFSC,etf_flag,abrdn Focused U.S. Small Cap Active ETF
AFSM,etf_flag,First Trust Active Factor Small Cap ETF
AGEM,etf_flag,abrdn Emerging Markets Dividend Active ETF
AGG,etf_flag,iShares Core U.S. Aggregate Bond ETF
AGGA,etf_flag,EA Astoria Beacon Dynamic Core US Fixed Income ETF
AGGH,etf_flag,Simplify Aggregate Bond ETF
AGGM,etf_flag,iShares 1-10 Year U.S. Aggregate Bond ETF
AGGS,etf_flag,Harbor Disciplined Bond ETF
AGGY,etf_flag,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund
AGIQ,etf_flag,SoFi Agentic AI ETF
AGIX,etf_flag,KraneShares Public-Private AI & Technology ETF
AGMI,etf_flag,Themes Silver Miners ETF
AGNG,etf_flag,Global X Aging Population ETF
AGOX,etf_flag,Adaptive Alpha Opportunities ETF
AGQ,etf_flag,ProShares Ultra Silver
AGQI,etf_flag,First Trust Active Global Quality Income ETF
AGRW,etf_flag,Allspring LT Large Growth ETF
AGZ,etf_flag,iShares  Agency Bond ETF
AGZD,etf_flag,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund
AHBM,etf_flag,Amplify Top 10 Asia Memory ETF
AHD,etf_flag,GraniteShares Autocallable HOOD ETF
AHLT,etf_flag,AHL Trend ETF
AHYB,etf_flag,American Century Select High Yield ETF
AIA,etf_flag,iShares Asia 50 ETF
AIBD,etf_flag,Direxion Daily AI and Big Data Bear 2X ETF
AIBU,etf_flag,Direxion Daily AI and Big Data Bull 2X ETF
AIEQ,etf_flag,Amplify AI Powered Equity ETF
AIFD,etf_flag,TCW Artificial Intelligence ETF
AIFR,etf_flag,Defiance Global Foundries ETF
AIHY,etf_flag,Defiance AI Hyperscale Leaders ETF
AIMG,etf_flag,Defiance AI Magnificent 10 ETF
AIMS,etf_flag,Acuitas Small Cap Active ETF
AINF,etf_flag,Defiance Inference AI Chip ETF
AINP,etf_flag,Allspring Income Plus ETF
AINT,etf_flag,FINQ DOLLAR NEUTRAL U.S. Large Cap AI-Managed Equity ETF
AIOO,etf_flag,AllianzIM U.S. Equity Buffer100 Protection ETF
AIPI,etf_flag,REX AI Equity Premium Income ETF
AIPO,etf_flag,Defiance AI & Power Infrastructure ETF
AIQ,etf_flag,Global X Artificial Intelligence & Technology ETF
AIQD,etf_flag,MicroSectors -3? Short Artificial Intelligence (AI) ETNs
AIQU,etf_flag,MicroSectors 3? Long Artificial Intelligence (AI) ETNs
AIRR,etf_flag,First Trust RBA American Industrial Renaissance ETF
