Ticker,Close,VWAP_window,Volume,DVOL,SMA4,SMA12,SMA46,Gradient_SMA4,Gradient_SMA46,Deviation_SMA4,Deviation_SMA46,Bars_since_SMA4,RSI6,RSI12,RSI24,RSI_sync_days,ATR10,ATR10_pct,RVOL10_max_10,CLV,CLV_rvol,Star_candle,Star_days_ago,WMA5,WMA10,WMA20,Gradient_WMA20,WMA_sync,WMA_fan_spread
AAPL,329.7,318.712,9317310,3071917107.0,330.405,324.0067,319.2326,1.0864,0.098,0.622,3.9399,0.0,62.5474,60.4785,56.0821,4,7.482,2.2693,1.7707,-0.2197,-0.0454,False,,329.746,326.4009,322.6192,0.3464,True,2.209
ACVA,10.435,8.715,3713801,38753513.435,9.6188,7.8562,7.6738,8.3014,1.0723,8.538,36.0473,3.0,90.8321,81.4379,72.5245,3,0.5804,5.5617,24.3981,0.6667,0.1408,False,,9.7903,8.7191,8.0022,3.497,True,22.3449
AMD,503.0,495.069,6278062,3157865186.0,504.035,485.8,491.6502,-0.8898,-0.2424,3.1442,4.4777,0.0,56.535,54.0711,48.6525,1,23.4328,4.6586,1.7949,0.1628,0.0578,False,,504.35,498.768,487.2378,0.4313,True,3.5121
AUR,6.435,6.273,7379561,47487475.035,6.4138,6.175,6.3067,-0.2725,0.019,3.5276,5.2842,0.0,61.3062,54.8011,52.0906,8,0.325,5.0501,1.913,-0.3667,-0.0971,False,,6.4313,6.3873,6.1773,0.4984,True,4.1118
BE,263.36,218.94,4166702,1097342638.72,263.6625,244.7846,222.0487,-0.547,0.1837,4.8025,21.5168,0.0,59.9407,59.9016,54.732,1,18.9361,7.1902,2.1585,0.313,0.0944,False,,263.8917,260.5413,243.4456,1.3468,True,8.3986
BP,46.829,43.285,5842413,273594358.377,46.2348,44.6924,43.323,0.6232,0.3836,1.7308,8.5681,0.0,80.2822,70.1651,64.7648,6,1.0231,2.1847,1.6092,0.6743,0.4207,False,,46.267,45.6329,44.7055,0.5958,True,3.4928
BTE,5.165,4.5,6649571,34345034.215,5.0662,4.9696,4.5275,0.8673,0.5272,2.0479,14.1911,0.0,76.5438,69.4889,64.527,5,0.1595,3.0877,1.7312,0.9333,0.3778,False,,5.0737,5.0229,4.9442,0.6193,True,2.6178
BTI,56.665,58.042,2058253,116630906.245,56.0138,55.6788,58.1162,1.0521,-0.1254,2.2785,3.4555,3.0,59.8978,51.7641,47.6713,2,1.1448,2.0203,2.6089,-0.0575,-0.0199,False,,56.1497,55.7538,55.856,0.1187,False,0.5258
BWIN,32.57,29.985,3929744,127991762.08,30.9025,30.5375,29.2493,3.5742,0.4522,5.8329,11.8145,2.0,70.4528,62.7939,59.775,2,1.3125,4.0298,22.8181,0.6561,0.8074,False,,31.1207,30.6185,30.6114,0.6128,True,1.6636
CNH,14.1799,11.758,8015982,113665823.1618,13.7525,13.3675,11.4587,0.5101,0.7101,4.3812,25.2761,0.0,71.5503,69.8865,66.2794,1,0.6091,4.2954,1.9177,0.517,0.1212,False,,13.836,13.8002,13.1586,1.3689,True,5.1476
CRGY,15.255,12.255,2090252,31886794.26,14.7288,14.2204,12.4071,1.7378,1.0188,3.797,23.2201,0.0,82.9208,76.6303,73.4443,3,0.488,3.1988,1.5645,0.9118,0.3259,False,,14.7783,14.5085,14.1957,0.9589,True,4.1042
CRWD,240.9,206.922,6400848,1541964283.2,222.97,217.1375,205.2328,3.783,0.5707,8.7231,18.1195,2.0,75.2218,65.4082,61.2339,2,13.4067,5.5652,2.4303,0.7552,0.42,False,,226.1167,219.2622,214.6007,1.4513,True,5.3662
CVE,33.745,30.299,2057207,69420450.215,33.3662,32.9129,30.5501,0.2138,0.524,1.5997,10.9652,0.0,70.7502,66.8983,65.286,1,0.9264,2.7452,3.5399,0.6517,0.203,False,,33.4183,33.2451,32.8216,0.3638,True,1.8181
DELL,548.845,462.011,4095944,2248038384.68,539.2588,508.0287,456.2447,0.6229,0.5441,5.454,24.6415,0.0,62.2638,61.4197,58.3357,1,36.0236,6.5635,6.1865,0.1124,0.0347,False,,542.127,533.0702,505.4393,1.276,True,7.2586
DHT,22.105,19.242,2296027,50753676.835,21.9212,20.8154,19.1834,1.0375,0.4936,4.0771,18.9311,1.0,85.6758,75.5512,68.0165,10,0.7105,3.2143,1.7616,-0.6416,-0.4387,False,,21.9457,21.4835,20.7353,0.9238,True,5.8373
DVN,51.245,46.057,3088593,158274948.285,50.3062,49.1162,46.1462,1.132,0.4256,1.9754,11.1684,0.0,77.2356,70.8807,65.8091,5,1.3315,2.5983,1.8467,0.9415,0.2632,False,,50.3237,49.7018,49.029,0.5422,True,2.6406
ERIC,10.045,10.109,3098692,31126361.14,10.1038,10.0762,10.039,-0.0371,-0.2822,1.8186,0.707,0.0,45.4112,45.3744,41.7276,3,0.1966,1.9571,2.1231,0.3158,0.1285,False,,10.0957,10.0925,10.0954,-0.0655,False,0.0028
FRO,51.54,42.336,2683743,138320114.22,49.9175,46.8967,41.7376,2.1873,0.7009,6.0516,26.836,7.0,92.6623,82.182,72.7983,10,1.6292,3.1611,1.6059,-0.1284,-0.1242,False,,50.0953,48.6342,46.7403,1.3308,True,7.1781
GOOG,340.54,343.658,3033947,1033180311.38,338.0225,336.1954,343.2725,0.903,-0.0917,1.8749,1.1165,4.0,56.07,50.785,48.4138,2,7.7319,2.2705,1.4585,-0.5528,-0.1056,False,,338.737,336.6982,337.0649,0.0677,False,0.4961
GOOGL,344.1,345.677,5649489,1943989164.9,341.1475,339.3858,345.2407,0.9898,-0.0823,2.0292,0.6606,2.0,56.5039,51.3399,48.8238,3,8.0936,2.3521,1.5,-0.5538,-0.1252,False,,341.9613,339.782,340.2091,0.0804,False,0.515
ITUB,8.235,7.989,8599041,70813102.635,8.2738,8.0604,7.9947,0.4694,-0.1046,2.1,3.694,0.0,61.5326,59.0804,51.6127,17,0.2392,2.9049,1.8635,0.4211,0.1529,False,,8.251,8.2235,8.0121,0.5507,True,2.9812
KR,61.86,57.788,2343984,144998850.24,59.5525,58.3642,57.7539,2.3016,0.0497,4.3449,7.5944,2.0,79.743,68.632,57.5516,3,1.6806,2.7168,2.0699,0.6872,0.2235,False,,59.9167,58.9504,58.4229,0.6773,True,2.5569
LUMN,7.045,6.415,3322709,23408484.905,6.9562,6.7038,6.4138,0.8119,0.1068,2.8571,11.5563,0.0,74.6947,64.1474,55.8976,14,0.3591,5.0968,1.3897,-0.0233,-0.0058,False,,6.9737,6.888,6.6327,0.9319,True,5.1405
META,668.76,602.661,7749669,5182668640.44,656.6925,620.2369,601.6664,0.5867,-0.0016,3.3772,12.8316,0.0,84.562,73.4503,58.1356,16,21.5221,3.2182,1.4934,0.1081,0.0455,False,,659.4962,644.073,616.9734,1.2195,True,6.8921
MO,69.985,68.926,2993707,209514584.395,69.5912,69.09,69.1478,0.7464,-0.0567,0.9179,1.565,0.0,62.5026,57.3688,50.9318,4,1.5092,2.1565,1.454,0.7263,0.2802,False,,69.6533,69.2678,68.9061,0.2703,True,1.0844
NTSK,17.515,14.169,3252725,56971478.375,16.0788,14.9671,14.0767,4.8666,0.8055,9.71,25.3131,1.0,79.6842,69.4455,63.4665,2,1.1477,6.5526,2.7215,0.7664,0.3356,False,,16.289,15.4598,14.9848,1.8416,True,8.7038
OXY,63.4,57.715,3401827,215675831.8,61.95,60.9633,58.0852,0.8429,0.3941,2.4132,9.2274,0.0,83.2696,72.2732,66.059,5,1.4748,2.3262,1.4455,0.9469,0.4438,False,,62.1427,61.5591,60.889,0.4843,True,2.0589
PBR,21.83,19.018,9130652,199322133.16,21.39,20.5854,18.9282,1.0516,0.5193,2.805,16.1762,0.0,78.3149,72.2463,66.9646,11,0.6369,2.9177,1.4436,0.6145,0.2298,False,,21.403,21.1224,20.3465,1.078,True,5.1927
PBR.A,19.48,16.935,5064998,98666161.04,19.22,18.5608,16.9511,0.6525,0.5027,2.4974,16.2167,0.0,78.2027,72.6661,67.4243,11,0.5468,2.8069,1.6586,0.443,0.2866,False,,19.2287,19.0289,18.3404,0.974,True,4.8433
PR,24.42,21.869,2623659,64069752.78,23.915,23.6358,21.8963,0.8398,0.5246,2.1535,11.5713,0.0,77.7538,69.8931,66.5163,1,0.6573,2.6915,1.3525,0.9753,0.3125,False,,23.9667,23.8225,23.6275,0.4262,True,1.4354
QCOM,187.455,166.936,4365956,818420281.98,181.6137,173.7929,167.0723,1.5307,-0.0222,4.48,13.5736,0.0,83.9863,72.6445,56.6822,15,8.1356,4.34,2.6139,0.6253,0.2297,False,,182.2643,178.2907,172.9832,1.1008,True,5.3653
S,23.175,20.491,2780466,64437299.55,21.3362,20.6538,20.4304,4.475,0.565,9.157,13.9966,3.0,77.5099,64.8874,61.0658,2,1.2061,5.2044,1.9529,0.8203,0.2618,False,,21.6417,20.8111,20.7878,1.076,True,4.1075
SHEL,98.49,90.401,2137903,210562066.47,96.9175,94.3783,90.5863,0.7483,0.391,1.9475,9.0728,0.0,84.8356,76.5234,71.2598,6,1.5506,1.5744,1.9279,0.7413,0.2201,False,,97.072,95.9442,94.4044,0.5328,True,2.8257
SWKS,87.68,67.708,3674604,322189278.72,84.83,75.72,67.4474,3.3381,0.8838,3.9158,30.6971,0.0,70.3708,70.3386,68.0303,1,5.2415,5.978,1.7214,0.8994,0.3803,False,,84.3393,80.7749,75.5891,2.084,True,11.576
T,26.7401,23.684,9910746,265014339.1146,26.215,25.9446,24.3672,1.5232,0.5018,2.1933,9.943,3.0,73.8446,69.4757,68.7987,1,0.5495,2.055,1.3595,0.7963,0.2239,False,,26.2784,26.0262,25.8959,0.411,True,1.4771
TNON,6.47,6.543,7630580,49369852.6,5.815,4.5892,3.1677,19.0264,4.3798,21.5821,123.1908,0.0,67.5861,60.6816,60.3425,1,1.7376,26.8556,68.4606,0.3258,0.099,False,,5.6947,4.9158,4.9275,2.2438,False,15.5696
TTD,15.005,15.477,5272938,79120434.69,14.5712,14.2779,15.7595,1.9315,-0.6223,3.9375,7.9277,0.0,69.9679,55.3377,44.7118,13,0.6577,4.3833,1.486,0.559,0.1618,False,,14.6503,14.4836,14.1618,0.8082,True,3.4496
VEEA,5.8601,3.026,125504951,735471563.3551,2.8425,1.9636,0.6259,45.1366,21.8314,137.4649,978.4246,1.0,96.5871,95.1586,93.7401,2,0.6545,11.1687,57.0013,0.4811,20.3659,False,,3.2127,2.5353,1.8066,30.009,True,77.8324
