Ticker,Close,VWAP_window,Volume,DVOL,SMA4,SMA12,SMA46,Gradient_SMA4,Gradient_SMA46,Deviation_SMA4,Deviation_SMA46,Bars_since_SMA4,RSI6,RSI12,RSI24,RSI_sync_days,ATR10,ATR10_pct,RVOL10_max_10,CLV,CLV_rvol,Star_candle,Star_days_ago,WMA5,WMA10,WMA20,Gradient_WMA20,WMA_sync,WMA_fan_spread
ABCL,12.73,5.93,18256822.0,232409344.06,11.6,9.0354,5.3923,3.0859,2.9374,13.6207,144.4234,0.0,80.4955,75.0648,68.3034,7,1.554,12.2071,3.5468,0.6429,0.3352,False,,11.7013,10.5992,8.9052,6.0625,True,31.3994
ABUS,5.07,4.599,11849831.0,60078643.17,5.1025,4.8225,4.4926,-0.6836,0.1647,1.6169,14.8998,0.0,63.2241,59.6966,54.4267,7,0.3585,7.0704,3.3625,-0.2958,-0.2361,False,,5.1087,4.9625,4.7913,0.9135,True,6.6231
ACHR,5.4,6.851,92223069.0,498004572.6,5.61,5.3758,6.448,-3.9324,-1.9432,8.7344,20.5961,0.0,44.8953,44.7296,39.3169,9,0.7888,14.6071,2.0657,0.1429,0.0808,False,,5.6167,5.6602,5.4879,-0.324,False,2.3463
ACVA,10.48,7.231,58205101.0,609989458.48,8.7575,7.9025,6.8209,9.1094,0.4504,19.8972,53.9393,1.0,79.3951,70.6763,59.0343,2,1.0768,10.2748,7.7364,0.5556,1.0261,False,,9.1153,8.4655,7.7816,4.3806,True,17.1393
ADM,88.09,71.88,11712045.0,1031714044.05,85.24,82.2158,71.9885,2.3112,0.8357,4.0943,23.2558,0.0,73.3285,66.0622,63.474,3,5.3176,6.0366,1.4945,0.7149,0.4603,False,,85.636,83.5455,81.9062,0.9343,True,4.5537
AEHL,12.29,3.16,12547190.0,154204965.1,7.9525,3.9218,4.8287,20.9406,-0.2204,111.1286,247.71,0.0,82.0921,73.0322,57.7359,6,3.356,27.3071,7.5762,0.2653,0.1113,False,,8.704,6.3683,4.1171,26.1354,True,111.409
AEMD,6.78,4.014,92722302.0,628657207.56,3.155,2.0536,2.4136,38.7015,1.3785,201.1094,293.6008,0.0,83.2142,75.332,63.031,1,1.3829,20.3972,80.9448,0.3276,4.413,True,0.0,3.546,2.9181,2.2381,23.9191,True,58.4414
AI,10.78,11.075,14907496.0,160702806.88,10.5775,9.7433,10.7835,1.141,-1.3615,7.5396,4.0662,0.0,67.9924,55.062,43.3209,8,1.1837,10.9801,1.5712,-0.1553,-0.094,False,,10.5867,10.2735,9.9245,1.0219,True,6.6718
ANET,199.53,151.439,18455950.0,3682515703.5,197.07,186.1933,152.6711,1.3898,0.5975,3.98,34.2188,0.0,67.7181,63.3404,57.9801,9,20.249,10.1484,1.5063,0.4274,0.2342,False,,197.1173,193.5969,183.6,1.4133,True,7.3624
ASAN,10.09,8.625,45306285.0,457140415.65,9.465,8.615,9.0278,1.3562,-0.9491,8.7163,13.9809,0.0,67.3362,60.9805,49.1881,1,1.2878,12.7628,1.7177,0.661,1.1354,False,,9.4613,9.2405,8.5339,2.5574,True,10.8676
ASST,28.28,18.36,31734661.0,897456213.08,26.195,17.3104,15.8098,10.0938,0.2313,12.9987,87.2251,4.0,89.7067,76.1274,59.3275,7,3.4647,12.2515,3.2811,0.04,0.0459,False,,26.3333,21.6303,18.018,6.7223,True,46.15
ATEC,10.28,12.768,10189900.0,104752172.0,9.9375,9.4287,12.8457,2.0331,-1.4633,10.9937,21.997,1.0,63.1658,51.5752,41.8419,14,1.1416,11.105,1.6083,-0.4851,-0.4681,False,,10.0287,9.7525,9.3491,1.3701,True,7.2686
AVAH,13.97,9.383,11870748.0,165834349.56,13.7375,11.4375,8.7115,1.485,1.2354,7.0792,68.8568,1.0,90.9393,83.9949,71.4473,15,1.0855,7.7703,2.4783,-0.6334,-0.529,False,,13.7807,12.7924,11.1409,3.9375,True,23.6949
AVTR,15.86,10.649,31750574.0,503564103.64,15.055,13.2442,10.6517,2.3523,0.8279,6.6091,50.6796,0.0,91.812,83.9287,68.9279,23,1.0763,6.7861,2.3884,0.7185,0.4944,False,,15.138,14.5167,12.9201,3.5485,True,17.1659
BBNX,21.43,17.172,12441702.0,266625673.86,19.285,17.4517,17.2783,3.1339,-0.7258,17.5006,31.1475,0.0,67.8955,62.5356,51.7378,1,3.0469,14.2178,2.2064,0.6559,1.4473,True,0.0,19.3453,18.3647,17.0874,3.6366,True,13.2138
BBY,94.56,72.365,13575962.0,1283742966.72,89.5175,85.8558,73.0022,2.4511,0.3705,7.074,31.2975,1.0,75.7642,68.5407,59.4693,3,6.8717,7.2671,1.6465,0.515,0.3888,False,,90.5053,88.2278,84.3789,1.924,True,7.2607
BE,280.76,188.095,46740902.0,13122975645.52,255.0375,232.67,189.7872,8.0932,1.7168,12.9246,51.7489,0.0,66.9414,59.6385,57.7948,3,51.2395,18.2503,2.3034,0.6282,0.409,False,,259.2267,240.466,242.5402,1.1536,False,6.8799
BNC,5.42,4.692,9693069.0,52536433.98,4.18,3.2358,3.9593,14.5911,-1.0921,31.5789,38.9118,2.0,86.5447,71.2328,53.5223,6,0.7528,13.8887,64.8878,0.8095,0.8545,False,,4.396,3.7142,3.2443,7.7537,True,35.4998
BOX,34.67,28.073,9298327.0,322372997.09,34.6475,32.08,27.9178,1.2781,0.2011,1.941,26.5141,0.0,69.6247,66.6845,57.2896,13,2.1856,6.3039,1.9585,-0.0934,-0.0609,False,,34.4527,33.7027,31.4631,1.7016,True,9.5017
BSBR,5.95,5.81,12904223.0,76780126.85,5.935,5.6542,5.9233,0.8885,0.0587,0.7582,0.9579,0.0,67.2302,57.2957,53.0126,8,0.3153,5.2989,3.398,0.7143,0.4984,False,,5.938,5.8438,5.647,0.6981,True,5.1541
BTDR,11.24,12.46,27473587.0,308803117.88,11.475,11.4367,12.1689,-0.2828,-1.939,6.7538,12.071,0.0,45.4669,44.8198,41.6412,3,2.5837,22.9868,1.9755,-0.28,-0.1291,False,,11.546,11.166,12.3038,-1.6269,False,-6.1591
